Date,PredVolMean,PredVolQ025,PredVolQ975,ActualReturn,ActualAbsReturn,ActualSqReturn,WindowAcceptRate,PilotAcceptRate
2020-05-26,0.012024781392732862,0.00996263851639719,0.013978063948639506,0.011898748343922004,0.011898748343922004,0.00014158021215198663,0.6925,0.9186666666666666
2020-05-27,0.012272818574521347,0.010976270937370195,0.013837760361763,0.014402910812775805,0.014402910812775805,0.0002074438398807742,0.6375,0.9106666666666666
2020-05-28,0.013106825447468006,0.012013938277416843,0.014430557543802638,-0.002425676002457996,0.002425676002457996,5.883904068900603e-06,0.7265,0.9006666666666666
2020-05-29,0.011095941120721837,0.009642682793705393,0.012895611584909929,0.0044852568747694044,0.0044852568747694044,2.0117529232666206e-05,0.7465,0.904
2020-06-01,0.009922473193502814,0.008160811645323373,0.012075865610786019,0.003428679800825804,0.003428679800825804,1.1755845176590876e-05,0.7505,0.9206666666666666
2020-06-02,0.008919543460561468,0.007069544941523013,0.011125131023706068,0.007861770604860104,0.007861770604860104,6.18074370434424e-05,0.569,0.898
2020-06-03,0.00927007787106722,0.0077128890268499,0.01128183245297008,0.013241134135025404,0.013241134135025404,0.00017532763318173496,0.63625,0.9093333333333333
2020-06-04,0.011124531902128377,0.009908618455933074,0.012745923509015765,-0.0036899257611473957,0.0036899257611473957,1.3615552122779187e-05,0.71875,0.9166666666666666
2020-06-05,0.00990318971003998,0.00851071501010778,0.011664868980132186,0.025558476144097304,0.025558476144097304,0.000653235702808391,0.72025,0.9073333333333333
2020-06-08,0.016445486995980016,0.014294413547815112,0.01900999130995919,0.011654119728267505,0.011654119728267505,0.00013581850664079386,0.7705,0.922
2020-06-09,0.015164078588227568,0.013627842821381613,0.016663737893437326,-0.008145280097260395,0.008145280097260395,6.634558786282632e-05,0.70875,0.9086666666666666
2020-06-10,0.013650714864333141,0.012385563201398225,0.015083864732780295,-0.005642792412720496,0.005642792412720496,3.184110621305599e-05,0.70275,0.9126666666666666
2020-06-11,0.012258636685044972,0.010634647873461916,0.01399412729788093,-0.0610682296738274,0.0610682296738274,0.0037293286754953333,0.70725,0.9086666666666666
2020-06-12,0.03203091155751127,0.026430126137681326,0.038535043970381024,0.012660749927673205,0.012660749927673205,0.00016029458873107705,0.73225,0.9153333333333333
